"","Plot","BA","BA.d","DBH","DBH.d","s.ha.l","s.ha.d","TRT","HT","HT.L","HT.D","LCBH","LCBH.L","FSG"
"1",1,19.6146957383378,0.295635932418589,7.63865547938197,3.32585365853659,3909.2,246,"th",7.40442207067803,8.56314987827488,3.46759714895621,4.27544664035211,4.81508527059808,4.27544664035211
"2",2,27.2854369184914,3.14231044467929,5.48442470730723,1.70264087468461,9908,9512,"ctrl",7.52375485049362,8.64744785676911,3.48686895637514,4.32563431679281,4.84332683872826,2.58219983860524
"3",3,17.7939732501102,1.58803889524227,4.85460632362058,1.601073551894,8065,5887,"ctrl",7.24220472111465,8.5193446432062,3.37735163629889,4.20609292004196,4.80400580297182,2.51741710189252
"4",4,21.6398451288528,3.32426495666249,5.09696532108084,1.58441042614812,9141,12085,"ctrl",7.39592476560706,8.48346217561325,3.3302588871458,4.28155887240991,4.79375676794266,2.61642942883701
"5",5,24.2958777457972,3.68163846259977,4.88852709053826,1.66530467680914,11277,12423,"ctrl",7.34178207062273,8.35295120130738,3.46733467311642,4.26719688315648,4.75229531839366,2.53352954659827
"6",6,22.869679127078,2.80606352101886,5.50739719219779,1.66305436101003,8049,9069,"ctrl",7.47320497356958,8.75589846186678,3.43743514111741,4.29033226394682,4.87398324381393,2.57161469338812
"7",7,20.0940935786923,3.06545100341809,5.5304352663051,1.66340094863256,7191,9909,"ctrl",7.55142711516164,8.66076767653529,3.43816944131557,4.33949223726386,4.84049304441763,2.62040751660607
"8",8,21.0991113110517,0.880035500494187,6.69205517166128,2.12698814634153,5639.25,2600,"th",7.40442207067803,8.56314987827488,3.46759714895621,4.27544664035211,4.81508527059808,4.27544664035211
"9",9,21.0991113110517,0.880035500494187,6.69205517166128,2.12698814634153,5639.25,2600,"th",7.40442207067803,8.56314987827488,3.46759714895621,4.27544664035211,4.81508527059808,4.27544664035211
"10",10,22.9216608741684,0.424659383409636,6.773959907532,1.62531713900135,5796.6,1482,"th",7.40442207067803,8.56314987827488,3.46759714895621,4.27544664035211,4.81508527059808,4.27544664035211
"11",11,23.5026477175781,2.99464051031583,5.83431693989071,1.84593201887021,7503,8267,"ctrl",7.63601306114617,8.79432870537853,3.73858779496939,4.36370530380122,4.87241262343845,2.49441140631653
"12",12,19.7412122989223,3.14115333327311,4.74275970950426,1.49670727897532,9501,12804,"ctrl",7.21502687368795,8.3858515128804,3.19280554025297,4.19839932443067,4.77070861071436,2.60199655430419
"13",13,29.3626353615779,3.29220864788008,4.81137851809305,1.51287146763902,13928,13164,"ctrl",7.28811644674523,8.36584039806911,3.21938419475909,4.24003824692906,4.75218731972652,2.63034614954951
"14",14,19.8216240018287,2.68912690793953,4.61984445354073,1.45973074851912,9772,11142,"ctrl",7.09494740751223,8.45252503124387,3.11915384446624,4.13216275675243,4.79276688466654,2.57258583451932
"15",15,19.184194400026,0.710549341434553,6.93986982486748,1.85816360601002,4470.9,1797,"th",7.40442207067803,8.56314987827488,3.46759714895621,4.27544664035211,4.81508527059808,4.27544664035211
"16",16,22.6758942316745,2.08929734471397,5.41573547486367,1.69861818181818,8380.3,6875,"th",7.40442207067803,8.56314987827488,3.46759714895621,4.27544664035211,4.81508527059808,2.541648065874
"17",17,24.2851395307798,5.17897580802172,4.95058823529412,1.91444072835377,10625,13455,"ctrl",7.28291616725679,8.52342442899114,3.85085373269397,4.2225392093651,4.80247845573618,2.29711234301812
"18",18,22.2082984752736,2.1240725134425,6.19723536737235,1.99577106518283,6424,5032,"ctrl",7.80774639521869,8.81595644743745,3.95296194496359,4.43820734933495,4.88260833662697,2.46172637685315
